timeNs,timeSeconds,vehicleId,gatewayId,runtimeGatewayId,distanceMeters,coverageRadiusMeters,active,available,cellRegionId,bandwidthPoolId
22000000000,22,veh_2,rsu_north,rsu_0,1094.841759,520,false,false,region_north_normal,pool_rsu_north
22000000000,22,veh_3,rsu_central,rsu_1,3365.158291,300,false,false,region_central_degraded,pool_rsu_central
22000000000,22,veh_3,rsu_north,rsu_0,1235.424781,520,false,false,region_north_normal,pool_rsu_north
23000000000,23,veh_0,rsu_central,rsu_1,2904.037216,300,false,false,region_central_degraded,pool_rsu_central
23000000000,23,veh_0,rsu_north,rsu_0,774.242904,520,false,false,region_north_normal,pool_rsu_north
23000000000,23,veh_1,rsu_central,rsu_1,3045.915787,300,false,false,region_central_degraded,pool_rsu_central
23000000000,23,veh_1,rsu_north,rsu_0,916.152319,520,false,false,region_north_normal,pool_rsu_north
23000000000,23,veh_2,rsu_central,rsu_1,3189.521499,300,false,false,region_central_degraded,pool_rsu_central
23000000000,23,veh_2,rsu_north,rsu_0,1059.787142,520,false,false,region_north_normal,pool_rsu_north
23000000000,23,veh_3,rsu_central,rsu_1,3330.087710,300,false,false,region_central_degraded,pool_rsu_central
23000000000,23,veh_3,rsu_north,rsu_0,1200.344143,520,false,false,region_north_normal,pool_rsu_north
23000000000,23,veh_4,rsu_central,rsu_1,3470.933481,300,false,false,region_central_degraded,pool_rsu_central
23000000000,23,veh_4,rsu_north,rsu_0,1341.272916,520,false,false,region_north_normal,pool_rsu_north
24000000000,24,veh_0,rsu_central,rsu_1,2868.644861,300,false,false,region_central_degraded,pool_rsu_central
24000000000,24,veh_0,rsu_north,rsu_0,738.842685,520,false,false,region_north_normal,pool_rsu_north
24000000000,24,veh_1,rsu_central,rsu_1,3010.967180,300,false,false,region_central_degraded,pool_rsu_central
24000000000,24,veh_1,rsu_north,rsu_0,881.196315,520,false,false,region_north_normal,pool_rsu_north
24000000000,24,veh_2,rsu_central,rsu_1,3154.570066,300,false,false,region_central_degraded,pool_rsu_central
24000000000,24,veh_2,rsu_north,rsu_0,1024.828779,520,false,false,region_north_normal,pool_rsu_north
24000000000,24,veh_3,rsu_central,rsu_1,3295.150337,300,false,false,region_central_degraded,pool_rsu_central
24000000000,24,veh_3,rsu_north,rsu_0,1165.396750,520,false,false,region_north_normal,pool_rsu_north
24000000000,24,veh_4,rsu_central,rsu_1,3435.922191,300,false,false,region_central_degraded,pool_rsu_central
24000000000,24,veh_4,rsu_north,rsu_0,1306.251321,520,false,false,region_north_normal,pool_rsu_north
25000000000,25,veh_0,rsu_central,rsu_1,2833.253116,300,false,false,region_central_degraded,pool_rsu_central
25000000000,25,veh_0,rsu_north,rsu_0,703.443059,520,false,false,region_north_normal,pool_rsu_north
25000000000,25,veh_1,rsu_central,rsu_1,2975.602082,300,false,false,region_central_degraded,pool_rsu_central
25000000000,25,veh_1,rsu_north,rsu_0,845.823530,520,false,false,region_north_normal,pool_rsu_north
25000000000,25,veh_2,rsu_central,rsu_1,3119.044025,300,false,false,region_central_degraded,pool_rsu_central
25000000000,25,veh_2,rsu_north,rsu_0,989.295589,520,false,false,region_north_normal,pool_rsu_north
25000000000,25,veh_3,rsu_central,rsu_1,3260.166845,300,false,false,region_central_degraded,pool_rsu_central
25000000000,25,veh_3,rsu_north,rsu_0,1130.406023,520,false,false,region_north_normal,pool_rsu_north
25000000000,25,veh_4,rsu_central,rsu_1,3400.977571,300,false,false,region_central_degraded,pool_rsu_central
25000000000,25,veh_4,rsu_north,rsu_0,1271.296321,520,false,false,region_north_normal,pool_rsu_north
26000000000,26,veh_0,rsu_central,rsu_1,2798.376663,300,false,false,region_central_degraded,pool_rsu_central
26000000000,26,veh_0,rsu_north,rsu_0,668.560259,520,false,false,region_north_normal,pool_rsu_north
26000000000,26,veh_1,rsu_central,rsu_1,2940.766544,300,false,false,region_central_degraded,pool_rsu_central
26000000000,26,veh_1,rsu_north,rsu_0,810.980350,520,false,false,region_north_normal,pool_rsu_north
26000000000,26,veh_2,rsu_central,rsu_1,3083.530909,300,false,false,region_central_degraded,pool_rsu_central
26000000000,26,veh_2,rsu_north,rsu_0,953.775224,520,false,false,region_north_normal,pool_rsu_north
26000000000,26,veh_3,rsu_central,rsu_1,3224.570381,300,false,false,region_central_degraded,pool_rsu_central
26000000000,26,veh_3,rsu_north,rsu_0,1094.802870,520,false,false,region_north_normal,pool_rsu_north
26000000000,26,veh_4,rsu_central,rsu_1,3366.056486,300,false,false,region_central_degraded,pool_rsu_central
26000000000,26,veh_4,rsu_north,rsu_0,1236.364774,520,false,false,region_north_normal,pool_rsu_north
27000000000,27,veh_0,rsu_central,rsu_1,2762.556077,300,false,false,region_central_degraded,pool_rsu_central
27000000000,27,veh_0,rsu_north,rsu_0,632.733820,520,false,false,region_north_normal,pool_rsu_north
27000000000,27,veh_1,rsu_central,rsu_1,2905.670129,300,false,false,region_central_degraded,pool_rsu_central
27000000000,27,veh_1,rsu_north,rsu_0,775.876180,520,false,false,region_north_normal,pool_rsu_north
27000000000,27,veh_2,rsu_central,rsu_1,3047.539219,300,false,false,region_central_degraded,pool_rsu_central
27000000000,27,veh_2,rsu_north,rsu_0,917.776089,520,false,false,region_north_normal,pool_rsu_north
27000000000,27,veh_3,rsu_central,rsu_1,3188.528453,300,false,false,region_central_degraded,pool_rsu_central
27000000000,27,veh_3,rsu_north,rsu_0,1058.754105,520,false,false,region_north_normal,pool_rsu_north
27000000000,27,veh_4,rsu_central,rsu_1,3330.740480,300,false,false,region_central_degraded,pool_rsu_central
27000000000,27,veh_4,rsu_north,rsu_0,1201.038106,520,false,false,region_north_normal,pool_rsu_north
27000000000,27,veh_5,rsu_central,rsu_1,3471.080243,300,false,false,region_central_degraded,pool_rsu_central
27000000000,27,veh_5,rsu_north,rsu_0,1341.376940,520,false,false,region_north_normal,pool_rsu_north
28000000000,28,veh_0,rsu_central,rsu_1,2726.775498,300,false,false,region_central_degraded,pool_rsu_central
28000000000,28,veh_0,rsu_north,rsu_0,596.947347,520,false,false,region_north_normal,pool_rsu_north
28000000000,28,veh_1,rsu_central,rsu_1,2870.834952,300,false,false,region_central_degraded,pool_rsu_central
28000000000,28,veh_1,rsu_north,rsu_0,741.033264,520,false,false,region_north_normal,pool_rsu_north
28000000000,28,veh_2,rsu_central,rsu_1,3012.212872,300,false,false,region_central_degraded,pool_rsu_central
28000000000,28,veh_2,rsu_north,rsu_0,882.442276,520,false,false,region_north_normal,pool_rsu_north
28000000000,28,veh_3,rsu_central,rsu_1,3152.574448,300,false,false,region_central_degraded,pool_rsu_central
28000000000,28,veh_3,rsu_north,rsu_0,1022.793222,520,false,false,region_north_normal,pool_rsu_north
28000000000,28,veh_4,rsu_central,rsu_1,3294.955474,300,false,false,region_central_degraded,pool_rsu_central
28000000000,28,veh_4,rsu_north,rsu_0,1165.242223,520,false,false,region_north_normal,pool_rsu_north
28000000000,28,veh_5,rsu_central,rsu_1,3435.869388,300,false,false,region_central_degraded,pool_rsu_central
28000000000,28,veh_5,rsu_north,rsu_0,1306.156085,520,false,false,region_north_normal,pool_rsu_north
29000000000,29,veh_0,rsu_central,rsu_1,2690.806619,300,false,false,region_central_degraded,pool_rsu_central
29000000000,29,veh_0,rsu_north,rsu_0,560.972515,520,false,false,region_north_normal,pool_rsu_north
29000000000,29,veh_1,rsu_central,rsu_1,2835.342545,300,false,false,region_central_degraded,pool_rsu_central
29000000000,29,veh_1,rsu_north,rsu_0,705.532952,520,false,false,region_north_normal,pool_rsu_north
29000000000,29,veh_2,rsu_central,rsu_1,2977.200601,300,false,false,region_central_degraded,pool_rsu_central
29000000000,29,veh_2,rsu_north,rsu_0,847.422398,520,false,false,region_north_normal,pool_rsu_north
29000000000,29,veh_3,rsu_central,rsu_1,3116.944635,300,false,false,region_central_degraded,pool_rsu_central
29000000000,29,veh_3,rsu_north,rsu_0,987.156546,520,false,false,region_north_normal,pool_rsu_north
29000000000,29,veh_4,rsu_central,rsu_1,3259.336613,300,false,false,region_central_degraded,pool_rsu_central
29000000000,29,veh_4,rsu_north,rsu_0,1129.615792,520,false,false,region_north_normal,pool_rsu_north
29000000000,29,veh_5,rsu_central,rsu_1,3400.755811,300,false,false,region_central_degraded,pool_rsu_central
29000000000,29,veh_5,rsu_north,rsu_0,1271.032490,520,false,false,region_north_normal,pool_rsu_north
30000000000,30,veh_0,rsu_central,rsu_1,2656.028580,300,false,false,region_central_degraded,pool_rsu_central
30000000000,30,veh_0,rsu_north,rsu_0,526.188716,520,false,false,region_north_normal,pool_rsu_north
30000000000,30,veh_1,rsu_central,rsu_1,2800.368237,300,false,false,region_central_degraded,pool_rsu_central
30000000000,30,veh_1,rsu_north,rsu_0,670.552158,520,false,false,region_north_normal,pool_rsu_north
