timeNs,timeSeconds,vehicleId,latitude,longitude,projectedX,projectedY,speed,heading,active,projectionPolicy,projectionSource
122000000000,122,veh_1,52.62176789696652,13.562178193377187,7033.450480,4710.982304,33.228927016835655,209.4427559033588,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
122000000000,122,veh_2,52.62283578865532,13.562959316328577,7088.692327,4828.704731,32.95915157203097,197.35905646699592,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
122000000000,122,veh_3,52.62401191474605,13.563243911390085,7110.563348,4959.135940,32.90397286738269,187.1483225786876,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
122000000000,122,veh_4,52.625146861213615,13.563457526755924,7127.537874,5085.082772,32.71758193743415,187.91097810424347,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
122000000000,122,veh_5,52.626364387388755,13.563695020851798,7146.310887,5220.182446,32.558709001978855,187.9109781042538,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
122000000000,122,veh_6,52.62746278014168,13.563920243004011,7163.988485,5342.048071,32.86019297642167,189.03438941908115,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
122000000000,122,veh_7,52.62864622387914,13.564347211728636,7195.507840,5473.101647,33.30057565192226,191.04915082583844,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
122000000000,122,veh_8,52.62977867738086,13.56465840972949,7219.077684,5598.640026,32.50860745284706,189.36008626207445,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
122000000000,122,veh_9,52.63095764157863,13.564931278343613,7240.155509,5729.403355,35.67752729662694,188.2547114899239,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
122000000000,122,veh_10,52.63217257024412,13.565167600908168,7258.838804,5864.216192,36.09584920610301,187.02911890487374,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
122000000000,122,veh_11,52.633505076636354,13.56538859637461,7276.744344,6012.127422,36.08566883161198,186.60141597942766,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
123000000000,123,veh_0,52.62041044036951,13.561129810107822,6959.472021,4561.414582,32.19365799796768,203.27757243616665,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
123000000000,123,veh_1,52.62150939973608,13.561949487693733,7017.395887,4682.539640,32.68416363296099,209.4427559033588,true,SUMO_NET_XML_UTM_WGS84_WITH_NET_OFFSET,C:\Users\raffa\IdeaProjects\maga-core\data\mosaic-scenarios\MaGaIntegratedStudy\sumo\Barnim.net.xml
