timeNs,timeSeconds,candidateId,sourceVehicleId,executionNodeId,type,availableCpu,availableBandwidth,propagationDelaySeconds,regionalRadioDelaySeconds,nodeBaseDelaySeconds,bandwidthPoolId,gatewayId,runtimeGatewayId,cellRegionId,bandwidthMeasurementTimeSeconds,bandwidthAgeSeconds,uplinkResidualBandwidth,downlinkResidualBandwidth,bandwidthPolicy,bandwidthSource,bandwidthLookupPolicy,bucketBoundaryPolicy,propagationDelayPolicy
40000000000,40,edge_north_for_veh_2,veh_2,edge_north,EDGE,12000000000,39619120,0.085,0.08,0.005,pool_rsu_north,rsu_north,rsu_0,region_north_normal,39,1,39619120,59497800,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
40000000000,40,cloud_regional_for_veh_2,veh_2,cloud_regional,CLOUD,100000000000,39619120,0.28,0.08,0.2,pool_rsu_north,rsu_north,rsu_0,region_north_normal,39,1,39619120,59497800,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
41000000000,41,edge_north_for_veh_0,veh_0,edge_north,EDGE,12000000000,39619120,0.085,0.08,0.005,pool_rsu_north,rsu_north,rsu_0,region_north_normal,40,1,39619120,59497800,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
41000000000,41,cloud_regional_for_veh_0,veh_0,cloud_regional,CLOUD,100000000000,39619120,0.28,0.08,0.2,pool_rsu_north,rsu_north,rsu_0,region_north_normal,40,1,39619120,59497800,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
41000000000,41,edge_north_for_veh_1,veh_1,edge_north,EDGE,12000000000,39619120,0.085,0.08,0.005,pool_rsu_north,rsu_north,rsu_0,region_north_normal,40,1,39619120,59497800,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
41000000000,41,cloud_regional_for_veh_1,veh_1,cloud_regional,CLOUD,100000000000,39619120,0.28,0.08,0.2,pool_rsu_north,rsu_north,rsu_0,region_north_normal,40,1,39619120,59497800,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
41000000000,41,edge_north_for_veh_2,veh_2,edge_north,EDGE,12000000000,39619120,0.085,0.08,0.005,pool_rsu_north,rsu_north,rsu_0,region_north_normal,40,1,39619120,59497800,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
41000000000,41,cloud_regional_for_veh_2,veh_2,cloud_regional,CLOUD,100000000000,39619120,0.28,0.08,0.2,pool_rsu_north,rsu_north,rsu_0,region_north_normal,40,1,39619120,59497800,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
42000000000,42,edge_north_for_veh_0,veh_0,edge_north,EDGE,12000000000,39619120,0.085,0.08,0.005,pool_rsu_north,rsu_north,rsu_0,region_north_normal,41,1,39619120,59497800,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
42000000000,42,cloud_regional_for_veh_0,veh_0,cloud_regional,CLOUD,100000000000,39619120,0.28,0.08,0.2,pool_rsu_north,rsu_north,rsu_0,region_north_normal,41,1,39619120,59497800,MIN_RESIDUAL_CELL_UPLINK_DOWNLINK_DIAGNOSTIC,CELL_BANDWIDTH_STREAM_RESIDUAL,LATEST_SAFE_AVAILABLE_CELL_BUCKET,START_TIMESTAMP_FOR_INTERVAL,MAX_CELL_UPLINK_DOWNLINK_UNICAST_PLUS_NODE_BASE_DIAGNOSTIC
