timeNs,timeSeconds,vehicleId,previousRegion,currentRegion,eventType,sourceFile
144000000000,144,veh_3,region_central_degraded,globalNetwork,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
148000000000,148,veh_4,region_central_degraded,globalNetwork,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
152000000000,152,veh_5,region_central_degraded,globalNetwork,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
156000000000,156,veh_6,region_central_degraded,globalNetwork,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
160000000000,160,veh_7,region_central_degraded,globalNetwork,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
164000000000,164,veh_8,region_central_degraded,globalNetwork,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
168000000000,168,veh_9,region_central_degraded,globalNetwork,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
172000000000,172,veh_10,region_central_degraded,globalNetwork,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
176000000000,176,veh_11,region_central_degraded,globalNetwork,REGION_TRANSITION,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
180000000000,180,veh_0,globalNetwork,,REMOVAL,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
180000000000,180,veh_1,globalNetwork,,REMOVAL,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
180000000000,180,veh_2,globalNetwork,,REMOVAL,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
180000000000,180,veh_3,globalNetwork,,REMOVAL,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
180000000000,180,veh_4,globalNetwork,,REMOVAL,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
180000000000,180,veh_5,globalNetwork,,REMOVAL,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
180000000000,180,veh_6,globalNetwork,,REMOVAL,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
180000000000,180,veh_7,globalNetwork,,REMOVAL,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
180000000000,180,veh_8,globalNetwork,,REMOVAL,C:\Users\raffa\IdeaProjects\maga-core\tmp\mosaic-25.2\logs\log-20260604-220216-MaGaIntegratedStudy\output.csv
