timeNs,timeSeconds,bandwidthPoolId,vehicleA,vehicleB,poolType,availableBandwidth,bandwidthSource,poolPolicy
17000000000,17,pool_v2v_veh_1_veh_2,veh_1,veh_2,DIRECT_V2V,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ONE_SHARED_POOL_PER_UNORDERED_PAIR
18000000000,18,pool_v2v_veh_0_veh_1,veh_0,veh_1,DIRECT_V2V,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ONE_SHARED_POOL_PER_UNORDERED_PAIR
18000000000,18,pool_v2v_veh_0_veh_2,veh_0,veh_2,DIRECT_V2V,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ONE_SHARED_POOL_PER_UNORDERED_PAIR
18000000000,18,pool_v2v_veh_1_veh_2,veh_1,veh_2,DIRECT_V2V,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ONE_SHARED_POOL_PER_UNORDERED_PAIR
19000000000,19,pool_v2v_veh_0_veh_1,veh_0,veh_1,DIRECT_V2V,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ONE_SHARED_POOL_PER_UNORDERED_PAIR
19000000000,19,pool_v2v_veh_0_veh_2,veh_0,veh_2,DIRECT_V2V,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ONE_SHARED_POOL_PER_UNORDERED_PAIR
19000000000,19,pool_v2v_veh_0_veh_3,veh_0,veh_3,DIRECT_V2V,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ONE_SHARED_POOL_PER_UNORDERED_PAIR
19000000000,19,pool_v2v_veh_1_veh_2,veh_1,veh_2,DIRECT_V2V,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ONE_SHARED_POOL_PER_UNORDERED_PAIR
19000000000,19,pool_v2v_veh_1_veh_3,veh_1,veh_3,DIRECT_V2V,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ONE_SHARED_POOL_PER_UNORDERED_PAIR
19000000000,19,pool_v2v_veh_2_veh_3,veh_2,veh_3,DIRECT_V2V,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ONE_SHARED_POOL_PER_UNORDERED_PAIR
20000000000,20,pool_v2v_veh_0_veh_1,veh_0,veh_1,DIRECT_V2V,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ONE_SHARED_POOL_PER_UNORDERED_PAIR
20000000000,20,pool_v2v_veh_0_veh_2,veh_0,veh_2,DIRECT_V2V,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ONE_SHARED_POOL_PER_UNORDERED_PAIR
20000000000,20,pool_v2v_veh_0_veh_3,veh_0,veh_3,DIRECT_V2V,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ONE_SHARED_POOL_PER_UNORDERED_PAIR
20000000000,20,pool_v2v_veh_1_veh_2,veh_1,veh_2,DIRECT_V2V,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ONE_SHARED_POOL_PER_UNORDERED_PAIR
20000000000,20,pool_v2v_veh_1_veh_3,veh_1,veh_3,DIRECT_V2V,10000000,DIAGNOSTIC_SYNTHETIC_VALUE,ONE_SHARED_POOL_PER_UNORDERED_PAIR
