sourceFile,direction,timeRaw,regionId,trafficObservedRaw,unitStatus
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,22,globalNetwork,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,22,region_central_degraded,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,22,region_north_normal,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,23,globalNetwork,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,23,region_central_degraded,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,23,region_north_normal,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,24,globalNetwork,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,24,region_central_degraded,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,24,region_north_normal,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,25,globalNetwork,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,25,region_central_degraded,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,25,region_north_normal,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,26,globalNetwork,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,26,region_central_degraded,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,26,region_north_normal,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,27,globalNetwork,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,27,region_central_degraded,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,27,region_north_normal,0,UNRESOLVED
tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy\bandwidthMeasurements\ALL#ALL#ALL#Dn.csv,DOWNLINK,28,globalNetwork,0,UNRESOLVED
